"query","full_name","html_url","description","language","stars","forks","pushed_at","created_at","updated_at","topics","license","archived","trend_score"
"topic:rag pushed:>2026-02-01 stars:>100","langgenius/dify","https://github.com/langgenius/dify","Production-ready platform for agentic workflow development.","TypeScript","134496","20936","2026-03-26T05:55:24Z","2023-04-12T07:40:24Z","2026-03-26T06:21:01Z","agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow","NOASSERTION","False","4667.71"
"topic:ai-agents pushed:>2026-02-01 stars:>50","firecrawl/firecrawl","https://github.com/firecrawl/firecrawl","🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data","TypeScript","98392","6628","2026-03-26T06:09:37Z","2024-04-15T21:02:29Z","2026-03-26T06:21:38Z","ai,ai-agents,ai-crawler,ai-scraping,ai-search,crawler,data-extraction,html-to-markdown,llm,markdown,scraper,scraping,web-crawler,web-data,web-data-extraction,web-scraper,web-scraping,web-search,webscraping","AGPL-3.0","False","4655.94"
"topic:llm-agents pushed:>2026-02-01 stars:>20","aiming-lab/AutoResearchClaw","https://github.com/aiming-lab/AutoResearchClaw","Fully autonomous & self-evolving research from idea to paper. Chat an Idea. Get a Paper. 🦞","Python","8776","935","2026-03-24T20:22:13Z","2026-03-15T03:38:49Z","2026-03-26T06:16:53Z","autonomous-research,citation-verification,llm-agents,metaclaw,multi-agent-debate,openclaw,paper-generation,scientific-discovery,self-evolving","MIT","False","3334.04"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","bytedance/deer-flow","https://github.com/bytedance/deer-flow","An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.","Python","46948","5573","2026-03-26T06:20:18Z","2025-05-07T02:50:19Z","2026-03-26T06:22:28Z","agent,agentic,agentic-framework,agentic-workflow,ai,ai-agents,deep-research,harness,langchain,langgraph,langmanus,llm,multi-agent,nodejs,podcast,python,superagent,typescript","MIT","False","3291.44"
"topic:ai-agents pushed:>2026-02-01 stars:>50","jackwener/opencli","https://github.com/jackwener/opencli","Make Any Website & Tool Your CLI. A universal CLI Hub and AI-native runtime. Transform any website, Electron app, or local binary into a standardized command-line interface. Built for AI Agents to discover, learn, and execute tools seamlessly via a unified AGENT.md integration.","TypeScript","7146","571","2026-03-26T06:19:51Z","2026-03-14T22:10:23Z","2026-03-26T06:20:25Z","ai-agent,ai-agents,ai-tools,cli","Apache-2.0","False","2714.8"
"topic:rag pushed:>2026-02-01 stars:>100","volcengine/OpenViking","https://github.com/volcengine/OpenViking","OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving.","Python","19133","1319","2026-03-26T06:01:48Z","2026-01-05T07:11:17Z","2026-03-26T06:22:03Z","agent,agentic-rag,ai-agents,clawbot,context-database,context-engineering,filesystem,llm,memory,openclaw,opencode,rag,skill","Apache-2.0","False","2695.31"
"topic:ai-agents pushed:>2026-02-01 stars:>50","crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","Python","47242","6384","2026-03-26T06:20:12Z","2023-10-27T03:26:59Z","2026-03-26T06:17:05Z","agents,ai,ai-agents,aiagentframework,llms","MIT","False","2005.45"
"topic:ai-agents pushed:>2026-02-01 stars:>50","BloopAI/vibe-kanban","https://github.com/BloopAI/vibe-kanban","Get 10X more out of Claude Code, Codex or any coding agent","Rust","23815","2355","2026-03-26T06:21:20Z","2025-06-14T19:10:21Z","2026-03-26T06:10:50Z","agent,ai-agents,kanban,management,task-manager","Apache-2.0","False","1780.58"
"topic:rag pushed:>2026-02-01 stars:>100","simstudioai/sim","https://github.com/simstudioai/sim","Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.","TypeScript","27214","3456","2026-03-26T06:05:21Z","2025-01-05T22:47:49Z","2026-03-26T05:55:04Z","agent-workflow,agentic-workflow,agents,ai,aiagents,anthropic,artificial-intelligence,automation,chatbot,deepseek,gemini,low-code,nextjs,no-code,openai,rag,react,typescript","Apache-2.0","False","1627.31"
"""multi-agent"" language:Python pushed:>2026-02-01 stars:>50","openai/openai-agents-python","https://github.com/openai/openai-agents-python","A lightweight, powerful framework for multi-agent workflows","Python","20317","3321","2026-03-26T06:06:41Z","2025-03-11T03:42:36Z","2026-03-26T06:19:49Z","agents,ai,framework,llm,openai,python","MIT","False","1313.22"
